customer_id,customer_name,signup_date,status
1,Sheryl Mack,2024-07-09,Active
2,Phillip Hunter,2020-07-26,Churned
3,William Hawkins,2023-08-05,Active
4,Ashley Heath,2023-10-04,Active
5,Kathy Clark,2024-11-18,Active
6,Dr. Gabriel Bishop Jr.,2021-10-23,Active
7,Denise Wood,2024-06-26,Active
8,Terry Smith,2023-01-08,Churned
9,Anthony Christensen,2021-03-17,Active
10,Tonya Villanueva,2023-03-24,Active
11,Rebecca Johnson,2021-02-20,Active
12,Kathleen Davis,2020-10-29,Churned
13,James Hunt,2021-03-24,Churned
14,David Smith,2023-01-03,Active
15,Alexander Garcia,2022-02-25,Active
16,Jeffrey Anderson,2022-12-18,Active
17,Thomas Klein,2023-05-26,Active
18,Sylvia Cohen,2023-02-27,Active
19,Shannon Francis,2023-05-17,Active
20,Ashley Collins,2024-12-14,Active
21,Anna Howard,2022-09-03,Active
22,Michael Smith PhD,2024-07-03,Active
23,Jason Bryant,2021-08-11,Active
24,Casey Ramsey,2024-12-30,Active
25,Briana Norris PhD,2024-05-03,Active
26,Brian Erickson,2021-11-20,Active
27,Stacy Mueller,2020-11-27,Active
28,Jamie Benjamin MD,2020-12-24,Active
29,Caitlin Ayala,2023-10-15,Active
30,Dominic Williams,2023-07-27,Active
31,Frank Pena,2022-04-08,Active
32,Lisa Burns,2022-07-01,Active
33,Meghan Young,2024-10-02,Active
34,Stanley Myers,2024-05-06,Churned
35,Regina Calderon,2020-11-14,Churned
36,Joshua Galloway,2023-08-25,Churned
37,Melinda Delgado,2021-07-02,Active
38,Christopher Yoder,2024-04-08,Active
39,Jennifer Martinez,2021-06-01,Active
40,Justin Hogan,2022-01-20,Active
41,Michael Herman,2024-12-10,Active
42,Sierra Mcconnell,2022-05-19,Active
43,Warren Santiago,2022-11-14,Active
44,Renee Johnson,2020-09-05,Churned
45,Dustin Andrews,2020-05-24,Active
46,Alexander Kaufman,2023-03-24,Active
47,Morgan Wheeler,2023-04-04,Active
48,Selena Butler,2024-04-26,Active
49,David Perez,2022-04-03,Active
50,Dustin Edwards PhD,2023-07-26,Active
51,John Mckay,2023-04-12,Churned
52,Brett Nunez,2023-06-22,Active
53,James Pacheco,2022-04-20,Churned
54,Alyssa Anderson,2023-09-11,Churned
55,Anthony Solis,2024-03-25,Active
56,Tami Gill,2024-10-18,Churned
57,Christopher Blevins,2022-08-01,Active
58,Bryan Roberts,2020-05-09,Active
59,Carol King,2020-10-17,Active
60,Christopher Barr,2020-08-26,Active
61,Thomas Miller,2020-11-16,Active
62,Dr. Patricia Martinez,2020-07-15,Active
63,Matthew Diaz,2024-04-25,Churned
64,Justin Li,2023-10-30,Active
65,Johnny Bailey,2020-04-16,Active
66,Margaret Stewart,2022-09-16,Active
67,Alexandria Strong,2023-04-22,Active
68,Christian Payne,2022-12-28,Churned
69,Mrs. Ashley Brooks,2022-12-05,Active
70,Scott Fletcher,2022-01-04,Churned
71,Allison Martin,2023-03-10,Active
72,Crystal Mendez,2023-03-01,Active
73,Manuel Williams,2021-10-29,Active
74,Joe Perez,2023-09-07,Churned
75,Mr. Ray Miller,2024-10-27,Active
76,Adam Whitney,2020-06-27,Active
77,Jillian Dixon,2020-05-06,Active
78,Angela Brown DDS,2022-02-26,Active
79,Lauren Jones,2020-10-08,Active
80,Andrew Anderson,2023-06-13,Active
81,Melissa Burton,2021-03-31,Churned
82,Craig Flores,2024-03-25,Active
83,Kimberly Ball,2020-04-22,Active
84,Tracey Lambert,2022-05-06,Active
85,James Estrada,2022-03-20,Active
86,Jay Hartman,2024-11-13,Active
87,Sandra Baxter,2020-12-15,Active
88,Ronald Nixon,2025-02-07,Active
89,Robert Norris,2022-11-17,Churned
90,Catherine Ortiz,2021-08-23,Active
91,Mark Hopkins,2022-01-04,Active
92,Jill White,2023-06-08,Active
93,Tracy Goodwin,2020-10-31,Active
94,Sharon Baker,2021-09-09,Active
95,Brandon Herrera,2024-10-10,Active
96,Zachary Ayers,2022-02-04,Active
97,Steven Hall,2024-03-27,Active
98,Anthony Alexander,2022-06-21,Active
99,Kari Little,2024-08-15,Active
100,Monica Nash,2022-11-21,Active
101,Stephen Collins,2024-10-24,Active
102,Xavier Garcia,2021-05-25,Active
103,Adam Smith,2025-01-05,Active
104,Linda Mitchell,2021-11-10,Active
105,Sabrina Harris,2020-04-19,Churned
106,Joanne Schultz,2022-07-16,Active
107,Miranda Caldwell,2020-10-31,Active
108,Mitchell Torres,2021-07-25,Active
109,Elizabeth Jones,2024-11-24,Active
110,Kimberly Montoya,2023-05-17,Active
111,Marie Williams,2021-09-30,Active
112,Anthony Richmond,2023-11-21,Active
113,Jeanne Sutton,2023-11-11,Churned
114,Donna Barker,2022-02-04,Churned
115,Emily Reynolds,2022-10-17,Active
116,David Martin,2022-10-11,Churned
117,Marcus Mcgee,2021-08-07,Churned
118,Wayne Watkins,2023-03-09,Active
119,Austin Rodgers,2021-09-24,Churned
120,Tony Carlson,2023-11-18,Active
121,Bailey Herrera,2025-01-07,Churned
122,Gail Fowler,2022-06-14,Churned
123,Danielle Robbins,2021-01-23,Active
124,Victor Calderon,2024-02-28,Active
125,Joseph Roman,2024-09-22,Active
126,Tyler Cruz,2023-06-23,Active
127,Margaret Scott MD,2023-06-27,Churned
128,Bobby Owen,2020-04-25,Churned
129,Daniel Benton,2024-10-30,Active
130,Jesse Mosley,2022-10-16,Active
131,Jason Mitchell MD,2021-03-15,Active
132,Michele Nguyen,2023-06-17,Active
133,Traci Hinton,2022-04-22,Active
134,Lori Hamilton,2020-06-28,Active
135,Kristin Warren,2025-01-10,Churned
136,Tracy Hubbard,2023-05-16,Active
137,Patrick Mccarthy,2021-09-21,Active
138,Lori Lee,2023-08-01,Active
139,William Jackson,2023-05-28,Active
140,Thomas Wallace,2022-02-10,Churned
141,Erica Davis,2022-08-13,Churned
142,Lisa Robinson,2024-07-07,Active
143,Victoria Smith,2022-06-19,Active
144,Robert Johnson,2024-02-29,Active
145,Kathy Chaney,2021-05-23,Active
146,Kathleen Ferguson,2021-06-15,Active
147,Francisco Lynch,2022-07-01,Active
148,John Love,2024-10-12,Active
149,Megan Mora,2020-07-02,Active
150,Ryan Dixon,2024-05-03,Active
151,Jennifer Dudley,2022-01-27,Churned
152,Ryan Miller Jr.,2024-05-04,Active
153,Ryan Martin,2022-08-25,Active
154,Emma Wells,2021-11-26,Active
155,Jason Trujillo,2024-07-04,Churned
156,Ryan Bush,2020-07-05,Active
157,Charles Molina,2022-03-05,Active
158,Jasmine Roman,2021-09-19,Active
159,Trevor Cruz,2020-12-25,Active
160,Carrie Coleman,2020-11-02,Active
161,Catherine Rodriguez,2024-05-31,Active
162,William Peters,2021-04-02,Active
163,John Short,2023-11-30,Active
164,Elizabeth Dominguez,2023-10-27,Active
165,Amber Moore,2022-07-28,Active
166,Thomas Mcbride,2020-05-11,Churned
167,Christopher West,2022-02-09,Active
168,Elizabeth Murphy,2021-05-27,Active
169,Bruce Roberts,2021-04-26,Active
170,Sergio Curtis,2021-06-04,Active
171,Mrs. Chelsea White MD,2023-04-20,Active
172,Mark Rocha,2023-04-17,Active
173,Lisa Hernandez,2022-03-21,Active
174,Noah Daniels,2024-01-06,Active
175,Charles Taylor,2021-05-12,Active
176,Janice Martinez,2023-05-04,Active
177,Mr. Colin Jones,2025-02-28,Active
178,Nicholas Rivera,2021-09-10,Active
179,Kenneth Green,2022-02-28,Churned
180,Kevin Lewis,2021-11-14,Active
181,Karen Carroll,2022-03-21,Active
182,Hannah Burke,2024-06-25,Active
183,Kayla Chase,2020-08-23,Churned
184,Christopher Mason,2020-11-02,Churned
185,Dana Washington,2023-09-12,Active
186,Brenda Bradley MD,2020-10-31,Active
187,Charlene Chavez,2020-05-18,Churned
188,Cynthia Holden,2022-10-25,Active
189,Douglas York,2024-08-17,Active
190,Robert Mcbride,2020-11-15,Active
